rma,part_no,part_description,vie_name
FMSV2022070047,370Y200585_,AW TUBE ASS'Y,Kênh khí nước
FMSV2022070047,68B12952250,WATER JET TUBE,Kênh nước phụ
FMSV2022070047,42B593410A,PIPE SLEEVE,Ống nối (đồng)
FMSV2022070047,54A3792370,NUT ASSY,Đai ốc (đồng)
FMSV2022070047,56B11069912,BELT,dây đai
FMSV2022070081,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2022070081,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2022070081,113Y200431B,NT TGCONT PCB,Bo mạch
FMSV2022070081,113Y200432B,NEW TV INTERFACE PCB,Bo mạch
FMSV2022070081,343A13050790,ISA-G201A-6(AT/WT),Bộ phận thân ống soi
FMSV2022070081,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2022080007,370Y200008C,FCT-C731A,Kênh sinh thiết
FMSV2022080007,68B13350950,FCT RING,Vòng sắt
FMSV2022080007,350N102482C,FCTINLET COVER RUBBER,Vòng cao su
FMSV2022080007,350N120376_,COVER L,Vòng cao su
FMSV2022080007,385N200076B,RBS,Vỏ cao su
FMSV2022080014,317Y200062_,CAP,Nắp nhựa
FMSV2022080014,371Y130006B,NOZZLE,Vòi phun
FMSV2022080014,848Y200012D,CHA-G399A,Đầu thu hình
FMSV2022080014,68B1141446A,RBS-G195A,Vỏ cao su
FMSV2022080014,369N100369C,WIRE SLEEVE               ROHS,
FMSV2022080014,347N120260_,ROUND CORNER SLEEVE,Ống nối (đồng)
FMSV2022080014,350N102482C,FCTINLET COVER RUBBER,Vòng cao su
FMSV2022080033,343A13050790,ISA-G201A-6(AT/WT),Bộ phận thân ống soi
FMSV2022080033,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2022080033,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2022080033,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2022080072,343A1336249E,VCA,Bộ phận kết nối tín hiệu
FMSV2022080072,68B11068581,RUBBER FOR BSA ROHS,Vỏ cao su
FMSV2022080072,343A1295776A,LG FLEXIBLE SECTION ASS/Y ROHS,Vỏ ống dẫn
FMSV2022080072,113Y200191_,AFE PCB ASSY ROHS,Bo mạch
FMSV2022080072,110A1318460D,530 MICON PCB,Bo mạch
FMSV2022090009,68A1304928B,FCT-G391A,Kênh sinh thiết
FMSV2022090009,68B12541530,FCT RING,Vòng sắt
FMSV2022090009,370Y200592_,AIR/WATER TUBE ASS''Y,Kênh khí nước
FMSV2022090009,68B1318113A,J TUBE,Kênh nước phụ
FMSV2022090009,342A1295820E,BSA  G391A,
FMSV2022090009,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2022090009,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2022090009,68B989926A,RBS-G181A,Vỏ cao su
FMSV2022090010,68A12515180,FSA-C642AH / 9.3,Vỏ ống luồn
FMSV2022090010,342A1251556A,BSA-C642A,Bộ phận uốn cong
FMSV2022090010,68B1207810A,RUBBER FOR BSA,Vỏ cao su
FMSV2022090010,370Y200590_,AW TUBE ASS''Y,Kênh khí nước
FMSV2022090010,68B12952250,WATER JET TUBE,Kênh nước phụ
FMSV2022090010,56A1082711A,WIRE ASSY,Dây cáp (thép)
FMSV2022090010,23B8087081,ISA RING 2,Vòng sắt
FMSV2022090010,23B1040417A,ISA RING 1,Vòng sắt
FMSV2022090012,342A1295820E,BSA  G391A,
FMSV2022090012,68B989926A,RBS-G181A,Vỏ cao su
FMSV2022090012,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2022090012,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2022090057,342A1295887A,BENDING SECTION ASSY,Bộ phận uốn cong
FMSV2022090057,68B9893902,RUBBER FOR BSA ROHS,Vỏ cao su
FMSV2022090057,68B1235415A,FCT RING,Vòng sắt
FMSV2022090057,68A1304877A,FCT-C692A,Kênh sinh thiết
FMSV2022090057,370Y200585_,AW TUBE ASS'Y,Kênh khí nước
FMSV2022090057,68B12952250,WATER JET TUBE,Kênh nước phụ
FMSV2022090057,42B593410A,PIPE SLEEVE,Ống nối (đồng)
FMSV2022090057,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2022090058,7A1296088B,LG-G391A,Dây dẫn sáng
FMSV2022090058,68B12541530,FCT RING,Vòng sắt
FMSV2022090058,68A1304928B,FCT-G391A,Kênh sinh thiết
FMSV2022090058,370Y200592_,AIR/WATER TUBE ASS''Y,Kênh khí nước
FMSV2022090058,68B1318113A,J TUBE,Kênh nước phụ
FMSV2022090058,342A1295820E,BSA  G391A,
FMSV2022090058,68B989926A,RBS-G181A,Vỏ cao su
FMSV2022090058,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2022090058,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2022090060,848Y200206B,CHA-C741A,Đầu thu hình
FMSV2022090060,372N200106A,FCT RING,Vòng sắt
FMSV2022090060,370Y200510B,FCT-C741A,Kênh sinh thiết
FMSV2022090060,370Y200615A,AWT-C740A,Kênh khí nước
FMSV2022090060,68A1336495A,J TUBE,Kênh nước phụ
FMSV2022090060,830Y200200D,BSA-C741A,Bộ phận uốn cong
FMSV2022090060,370N200272_,RBS-C740A,Vỏ cao su
FMSV2022090060,347N130337_,HANGING SLEEVE,Ống nối (đồng)
FMSV2022090060,370Y200249B,FSA-C741A,Vỏ ống luồn
FMSV2022090060,350N102482C,FCTINLET COVER RUBBER,Vòng cao su
FMSV2022090061,10A1304570J,CHA-G391A,Đầu thu hình
FMSV2022090061,68B12541530,FCT RING,Vòng sắt
FMSV2022090061,68A1304928B,FCT-G391A,Kênh sinh thiết
FMSV2022090061,370Y200592_,AIR/WATER TUBE ASS''Y,Kênh khí nước
FMSV2022090061,68B1318113A,J TUBE,Kênh nước phụ
FMSV2022090061,371Y200079_,NOZZLE,Vòi phun
FMSV2022090061,317Y200047_,CAP,Nắp nhựa
FMSV2022090061,342A1295820E,BSA  G391A,
FMSV2022090061,68B989926A,RBS-G181A,Vỏ cao su
FMSV2022090061,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2022090061,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2022090061,343A1331775D,VIDEO CONNECTOR ASS'Y,Bộ phận kết nối tín hiệu
